Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
188 - Business Innovation & Investment (Provisional) (subclass 188),Business Innovation Extension,7 Months,8 Months,10 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Significant Investor Extension,59 Days,4 Months,7 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
189 - Skilled Independent (subclass 189),Points-Tested,34 Days,3 Months,37 Months,45 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
189 - Skilled Independent (subclass 189),New Zealand,20 Months,21 Months,23 Months,25 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
190 - Skilled Nominated (subclass 190),,3 Months,3 Months,6 Months,11 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
300 - Prospective Marriage (subclass 300),,8 Months,12 Months,26 Months,37 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
309 - Partner (Provisional) (subclass 309),,10 Months,14 Months,29 Months,38 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
400 - Temporary Work (short stay) (subclass 400),,3 Days,12 Days,26 Days,37 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Government Agreement,8 Days,16 Days,27 Days,83 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Foreign Government Agency,9 Days,31 Days,5 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Domestic Worker (Diplomatic or Consular),Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Privileges and Immunities,8 Days,14 Days,28 Days,6 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Pacific Australia Labour Mobility Scheme,4 Days,6 Days,10 Days,14 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
407 - Training visa (subclass 407),,5 Months,16 Months,28 Months,31 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Entertainment Activities,4 Days,9 Days,15 Days,30 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Research Activities,8 Days,18 Days,37 Months,38 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Religious Work,85 Days,4 Months,8 Months,21 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Special Programs,5 Days,12 Days,51 Days,22 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Invited for Other Social and Cultural Activity,2 Days,6 Days,14 Days,24 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Australian Government Endorsed Events,67 Days,7 Months,9 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
