Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
100 - Partner (Migrant) visa (subclass 100),,5 Months,12 Months,17 Months,31 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times. ​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
101 - Child (subclass 101),,5 Months,8 Months,10 Months,19 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
102 - Adoption (subclass 102),,4 Months,9 Months,16 Months,27 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
117 - Orphan Relative (subclass 117),,41 Months,52 Months,69 Months,77 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
124 - Distinguished Talent (subclass 124),,20 Months,23 Months,28 Months,31 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
132 - Business Talent (subclass 132),Significant Business History,20 Months,36 Months,38 Months,40 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
132 - Business Talent (subclass 132),Venture Capital Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
155 - Resident Return 5 Year (subclass 155),,Less than 1 day,Less than 1 day,21 Days,79 Days,"​Generally, applications that meet the residence requirements will be processed within 5 working days from lodgement. Applications that do not meet the residence requirement will take longer to finalise.​",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
157 - Resident Return 3mth (subclass 157),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
159 - Provisional Resident Return (subclass 159),,,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
186 - Employer Nomination Scheme visa (subclass 186),Direct Entry Pathway,42 Days,4 Months,8 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
186 - Employer Nomination Scheme visa (subclass 186),Agreement Pathway,56 Days,3 Months,6 Months,9 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
186 - Employer Nomination Scheme visa (subclass 186),Transition Pathway,76 Days,5 Months,12 Months,18 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
187 - Regional Sponsor Migration Scheme (subclass 187),Direct Entry Pathway,32 Months,35 Months,53 Months,60 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
187 - Regional Sponsor Migration Scheme (subclass 187),Transition Pathway,9 Months,12 Months,15 Months,17 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Business Innovation,14 Months,32 Months,34 Months,37 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Investor,25 Months,37 Months,39 Months,40 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Significant Investor,8 Months,14 Months,17 Months,23 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Entrepreneur,79 Days,4 Months,8 Months,10 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
