Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
858 - Global Talent (subclass 858),Global Talent Pathway,32 Days,50 Days,74 Days,3 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
870 - Sponsored Parent (temporary) visa (subclass 870),Visa application,53 Days,3 Months,6 Months,10 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
870 - Sponsored Parent (temporary) visa (subclass 870),Sponsorship,4 months,5 months,5 months,9 months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
887 - Skilled-Regional (subclass 887),,23 Months,24 Months,24 Months,24 Months,We are currently assessing applications submitted before September 2020,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Business Innovation,23 Months,26 Months,27 Months,29 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Investor,22 Months,22 Months,24 Months,26 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Significant Investor,25 Months,26 Months,27 Months,29 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
890 - Business Owner (subclass 890),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
891 - Investor (subclass 891),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
892 - State Sponsored Business Owner (subclass 892),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
893 - Sponsored Investor (subclass 893),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
988 - Maritime Crew (subclass 988),,Less than 1 Day,Less than 1 Day,2 Days,13 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
