Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
494 - Skilled Employer Sponsored Regional (provisional) (subclass 494),Labour Agreement,5 Months,5 Months,7 Months,9 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Foreign Affairs or Defence Sector,9 Days,18 Days,39 Days,5 Months,"Student visa applications from applicants outside Australia are being prioritised and processing times for this cohort are faster. In December 2022 for applications where the client is outside Australia, the median processing time is 15 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Postgraduate Research Sector,26 Days,4 Months,7 Months,12 Months,"Student visa applications from applicants outside Australia are being prioritised and processing times for this cohort are faster. In December 2022 for applications where the client is outside Australia, the median processing time is 16 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Independent ELICOS Sector,7 Days,21 Days,46 Days,4 Months,"Student visa applications from applicants outside Australia are being prioritised and processing times for this cohort are faster. In December 2022 for applications where the client is outside Australia, the median processing time is 18 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Schools Sector,15 Days,27 Days,3 Months,9 Months,"Student visa applications from applicants outside Australia are being prioritised and processing times for this cohort are faster. In December 2022 for applications where the client is outside Australia, the median processing time is 20 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Vocational Education and Training Sector,30 Days,3 Months,7 Months,14 Months,"Student visa applications from applicants outside Australia are being prioritised and processing times for this cohort are faster. In December 2022 for applications where the client is outside Australia, the median processing time is 26 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Higher Education Sector,9 Days,23 Days,4 Months,10 Months,"Student visa applications from applicants outside Australia are being prioritised and processing times for this cohort are faster. In December 2022 for applications where the client is outside Australia, the median processing time is 12 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
500 - Student visa (subclass 500),Non-Award Sector,Less than 1 day,Less than 1 day,6 Days,14 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
590 - Student Guardian visa (subclass 590),,29 Days,81 Days,8 Months,11 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
600 - Visitor (subclass 600),Tourist,4 Days,12 Days,18 Days,35 Days,​ ​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
600 - Visitor (subclass 600),Sponsored Family,9 Days,16 Days,29 Days,37 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
600 - Visitor (subclass 600),Business Visitor,2 Days,6 Days,11 Days,21 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
602 - Medical Treatment (subclass 602) - outside Australia,,1 Day,8 Days,37 Days,4 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
651 - eVisitor (subclass 651),,Less than 1 day,Less than 1 day,Less than 1 day,Less than 1 day,​ ​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
771 - Transit (subclass 771),,1 Day,4 Days,11 Days,19 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
801 - Partner (subclass 801),,6 Months,11 Months,16 Months,25 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
802 - Child (subclass 802),,5 Months,7 Months,9 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
808 - Confirmatory (Residence) (subclass 808),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
820 - Partner (subclass 820),,6 Months,9 Months,18 Months,37 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
837 - Orphan Relative (subclass 837),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
