Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
408 - Temporary Work Activity visa (subclass 408),Exchange Arrangements,27 Days,38 Days,6 Months,26 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Superyacht Crew,2 Days,5 Days,18 Days,24 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Domestic Work for Executives,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Sporting Activities,8 Days,22 Days,34 Days,21 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
417 - Working Holiday (subclass 417),,Less than 1 Day,Less than 1 Day,8 Days,44 Days,"For Visitors and Working Holiday Makers the processing time is calculated differently depending on when you applied. If you applied before the border reopened, then the processing time is calculated from the date you became eligible to travel. If you applied after the border reopened, then the processing time is calculated from the date you applied.​",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445 - Dependent Child (subclass 445),,4 Months,6 Months,7 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
461 - NZ Citizen Family Relationship (subclass 461),,11 Months,26 Months,31 Months,36 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
462 - Work and Holiday (subclass 462),,26 Days,43 Days,65 Days,8 Months,"For Visitors and Working Holiday Makers the processing time is calculated differently depending on when you applied. If you applied before the border reopened, then the processing time is calculated from the date you became eligible to travel. If you applied after the border reopened, then the processing time is calculated from the date you applied.​",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
476 - Skilled - Recognised Graduate (subclass 476),,36 Months,37 Months,39 Months,41 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Short-term,44 Days,3 Months,6 Months,11 Months,"Currently, the Department is prioritising applications on the Priority Migration Skilled Occupation List (PMSOL), those in critical sectors as per Ministerial Directions and for applicants outside Australia. In August 2022, 50 per cent of applications where the client is outside Australia were finalised in 66 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Medium-term,30 Days,53 Days,3 Months,6 Months,"Currently, the Department is prioritising applications on the Priority Migration Skilled Occupation List (PMSOL), those in critical sectors as per Ministerial Directions and for applicants outside Australia. In August 2022, 50 per cent of applications where the client is outside Australia were finalised in 41 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Labour Agreement,36 Days,58 Days,3 Months,6 Months,"Currently, the Department is prioritising applications on the Priority Migration Skilled Occupation List (PMSOL), those in critical sectors as per Ministerial Directions and for applicants outside Australia. In August 2022, 50 per cent of applications where the client is outside Australia were finalised in 52 days.",
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Nomination,7 Days,32 Days,4 Months,10 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Sponsorship,21 Days,24 Days,4 Months,4 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
485 - Temporary Graduate (subclass 485),Graduate Work,5 Months,11 Months,13 Months,17 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
485 - Temporary Graduate (subclass 485),Post-Study Work,5 Months,6 Months,10 Months,11 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
489 - Skilled Regional Sponsored (Provisional) (subclass 489),,28 Months,30 Months,33 Months,37 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
491 - Skilled Work Regional (provisional) visa (subclass 491),State/Territory Government Nominated Regional,79 Days,4 Months,8 Months,12 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
491 - Skilled Work Regional (provisional) visa (subclass 491),Family Sponsored Regional,3 Months,5 Months,9 Months,20 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
494 - Skilled Employer Sponsored Regional (provisional) (subclass 494),Employer Sponsored,73 Days,4 Months,6 Months,12 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
