Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
408 - Temporary Work Activity visa (subclass 408),Exchange Arrangements,9 Days,26 Days,77 Days,23 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Superyacht Crew,4 Days,42 Days,16 Months,20 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Domestic Work for Executives,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Sporting Activities,2 Days,6 Days,19 Days,34 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
417 - Working Holiday (subclass 417),,Less than 1 day,Less than 1 day,2 Days,14 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445 - Dependent Child (subclass 445),,5 Months,6 Months,7 Months,10 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
461 - NZ Citizen Family Relationship (subclass 461),,4 Months,5 Months,18 Months,35 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
462 - Work and Holiday (subclass 462),,Less than 1 day,14 Days,31 Days,83 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
476 - Skilled - Recognised Graduate (subclass 476),,28 Months,35 Months,38 Months,41 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Short-term,9 Days,20 Days,35 Days,3 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Medium-term,9 Days,20 Days,37 Days,77 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Labour Agreement,17 Days,24 Days,79 Days,5 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Nomination,0 days,5 days,19 days,25 days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
482 - Temporary Skill Shortage visa (subclass 482),Sponsorship,10 days,13 days,37 days,83 days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
485 - Temporary Graduate (subclass 485),Graduate Work,72 Days,5 Months,10 Months,13 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
485 - Temporary Graduate (subclass 485),Post-Study Work,79 Days,4 Months,10 Months,15 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
489 - Skilled Regional Sponsored (Provisional) (subclass 489),,38 Months,39 Months,39 Months,42 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
491 - Skilled Work Regional (provisional) visa (subclass 491),State/Territory Government Nominated Regional,17 Months,19 Months,28 Months,30 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
491 - Skilled Work Regional (provisional) visa (subclass 491),Family Sponsored Regional,4 Months,7 Months,10 Months,32 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
494 - Skilled Employer Sponsored Regional (provisional) (subclass 494),Employer Sponsored,4 Months,9 Months,13 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
