Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
858 - Global Talent (subclass 858),Global Talent Pathway,65 days,81 Days,4 Months,6 Months,Processing times are indicative of Global Talent (subclass 858) visa applicants who have received priority processing via an Expression of Interest (EOI). Processing times are not available for all other Global Talent (subclass 858) visa applicants.,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
870 - Sponsored Parent (temporary) visa (subclass 870),Visa Application,64 Days,78 Days,3 Months,5 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
870 - Sponsored Parent (temporary) visa (subclass 870),Sponsorship,43 days,54 days,63 days,88 days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
887 - Skilled-Regional (subclass 887),,18 Months,24 Months,27 Months,27 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Business Innovation,26 Months,28 Months,30 Months,31 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Significant Investor,27 Months,29 Months,34 Months,35 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
888 - Business Innovation & Investment (Permanent) (subclass 888),Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
890 - Business Owner (subclass 890),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
891 - Investor (subclass 891),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
892 - State Sponsored Business Owner (subclass 892),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
893 - Sponsored Investor (subclass 893),,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
988 - Maritime Crew (subclass 988),,Less than 1 day,Less than 1 day,Less than 1 day,5 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
